logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,区画線数,対象の区画線ID,対象の区画線の親区画線のID,MMS測位誤差[mm],レーザー測位誤差[mm],道路構成地物ID,区画線種別,区画線付加属性フラグ,始点側線幅[cm],終点側線幅[cm]
304049,0x3aa0b,False,285,877797,885842,7,6,1.7488013864825147e+18,-1,775.0,214.0,3221291776.0,1,0,20,20
308982,0x3aa17,False,292,877797,885842,7,6,1.7488013864825147e+18,-1,719.0,196.0,3221291776.0,1,0,20,20
308982,0x3aa17,False,292,877797,885842,7,6,1.7488013864825147e+18,-1,781.0,198.0,3221291520.0,2,0,15,15
308982,0x3aa17,False,292,877797,885842,7,6,1.7488013870193856e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
308982,0x3aa17,False,292,877797,885842,7,6,1.7488013870193856e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
308982,0x3aa17,False,292,877797,885842,7,6,1.7488013864825147e+18,-1,730.0,210.0,3221291520.0,2,0,15,15
308982,0x3aa17,False,292,877797,885842,7,6,1.7488013864825147e+18,-1,775.0,214.0,3221291776.0,1,0,20,20
403725,0x3aa73,False,285,885842,893762,7,6,1.7488013864825147e+18,-1,828.0,196.0,3221291776.0,1,0,20,20
403725,0x3aa73,False,285,885842,893762,7,6,1.7488013864825147e+18,-1,781.0,198.0,3221291520.0,2,0,15,15
403725,0x3aa73,False,285,885842,893762,7,6,1.7488013870193856e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
403725,0x3aa73,False,285,885842,893762,7,6,1.7488013870193856e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
403725,0x3aa73,False,285,885842,893762,7,6,1.7488013864825147e+18,-1,926.0,208.0,3221291520.0,2,0,15,15
403725,0x3aa73,False,285,885842,893762,7,6,1.7488013864825147e+18,-1,774.0,213.0,3221291776.0,1,0,20,20
440281,0x3aa9e,False,292,885842,893762,7,6,1.7488013864825147e+18,-1,828.0,196.0,3221291776.0,1,0,20,20
