logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,レーン形状情報数,Lane ID,Type,形状要素点数,緯度[deg],経度[deg],高さ[cm],形状インデックス
43208,0x3fbf8,False,292,2373538,2379470,7,3,5130010000000632852,0,14,36.23406552621957,139.57447934420185,6286,3
43208,0x3fbf8,False,292,2373538,2379470,7,3,5130010000000632852,0,14,36.23410777101156,139.5744900730379,6282,4
43208,0x3fbf8,False,292,2373538,2379470,7,3,5130010000000632852,0,14,36.2341493452513,139.5745011371501,6278,5
43208,0x3fbf8,False,292,2373538,2379470,7,3,5130010000000632852,0,14,36.23419091949104,139.57451186598615,6274,6
43208,0x3fbf8,False,292,2373538,2379470,7,3,5130010000000632852,0,14,36.234236181768175,139.57452326537447,6270,7
43208,0x3fbf8,False,292,2373538,2379470,7,3,5130010000000632852,0,14,36.23427675017954,139.57453432948668,6268,8
43208,0x3fbf8,False,292,2373538,2379470,7,3,5130010000000632852,0,14,36.2343223477328,139.57454639942725,6264,9
43208,0x3fbf8,False,292,2373538,2379470,7,3,5130010000000632852,0,14,36.23436157503966,139.57455645771105,6260,10
43208,0x3fbf8,False,292,2373538,2379470,7,3,5130010000000632852,0,14,36.23441019007806,139.57456886292775,6255,11
43208,0x3fbf8,False,292,2373538,2379470,7,3,5130010000000632852,0,14,36.23444070020561,139.5745769095548,6253,12
43208,0x3fbf8,False,292,2373538,2379470,7,3,5130010000000632852,0,14,36.23447959223633,139.57458663256247,6250,13
43208,0x3fbf8,False,292,2373538,2379470,7,3,5130010000000632839,0,14,36.23394683847063,139.57448940248565,6303,0
43208,0x3fbf8,False,292,2373538,2379470,7,3,5130010000000632839,0,14,36.23397231945628,139.57449644328432,6301,1
43208,0x3fbf8,False,292,2373538,2379470,7,3,5130010000000632839,0,14,36.23401523480052,139.57450784267263,6297,2
43208,0x3fbf8,False,292,2373538,2379470,7,3,5130010000000632839,0,14,36.23405882069703,139.57451924206094,6293,3
43208,0x3fbf8,False,292,2373538,2379470,7,3,5130010000000632839,0,14,36.23410106548902,139.57453030617316,6290,4
43208,0x3fbf8,False,292,2373538,2379470,7,3,5130010000000632839,0,14,36.23414263972876,139.57454137028535,6286,5
43208,0x3fbf8,False,292,2373538,2379470,7,3,5130010000000632839,0,14,36.23418387869238,139.5745520991214,6282,6
43208,0x3fbf8,False,292,2373538,2379470,7,3,5130010000000632839,0,14,36.234228805693384,139.57456383378585,6279,7
43208,0x3fbf8,False,292,2373538,2379470,7,3,5130010000000632839,0,14,36.234269709380875,139.5745745626219,6276,8
43208,0x3fbf8,False,292,2373538,2379470,7,3,5130010000000632839,0,14,36.23431597748639,139.57458663256247,6273,9
43208,0x3fbf8,False,292,2373538,2379470,7,3,5130010000000632839,0,14,36.234354534240985,139.57459669084628,6270,10
43208,0x3fbf8,False,292,2373538,2379470,7,3,5130010000000632839,0,14,36.23440281400327,139.57460909606297,6265,11
43208,0x3fbf8,False,292,2373538,2379470,7,3,5130010000000632839,0,14,36.23443332413082,139.5746168074139,6263,12
43208,0x3fbf8,False,292,2373538,2379470,7,3,5130010000000632839,0,14,36.234469869228654,139.57462585986931,6260,13
