logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,道路標示物情報数,道路標示ID,交通ペイント種別,MMS測位誤差[mm],レーザー測位誤差[mm],座標点数,緯度[deg],経度[deg],楕円体高[cm]
1735807,0x3af21,False,305,0,7778,1,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12525232977356,139.62885744395408,5392
1735807,0x3af21,False,305,0,7778,1,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12521611995185,139.62888963046225,5393
1735807,0x3af21,False,305,0,7778,1,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.1251805806824,139.62892081114205,5393
1735807,0x3af21,False,305,0,7778,1,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12514437086069,139.62895333292636,5392
1735807,0x3af21,False,305,0,7778,1,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12510782576285,139.62898551943456,5393
1735807,0x3af21,False,305,0,7778,1,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.125070945388885,139.62901804121887,5394
1735807,0x3af21,False,305,0,7778,1,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12503339446267,139.6290495571748,5394
1735807,0x3af21,False,305,0,7778,1,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12499718464096,139.62908274951135,5394
1735807,0x3af21,False,305,0,7778,1,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.124961645371506,139.62911258908667,5394
1735807,0x3af21,False,305,0,7778,1,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12495929843862,139.6291078952209,5393
1735937,0x3af2b,False,305,7778,14968,1,2,1.7488013886299988e+18,3288467200.0,4399,159,4,36.12548936999531,139.62853893163347,5367
1735937,0x3af2b,False,305,7778,14968,1,2,1.7488013886299988e+18,3288467200.0,4399,159,4,36.12552625036927,139.62849735739374,5359
1735937,0x3af2b,False,305,7778,14968,1,2,1.7488013886299988e+18,3288467200.0,4399,159,4,36.12553127951117,139.62850372764015,5361
1735937,0x3af2b,False,305,7778,14968,1,2,1.7488013886299988e+18,3288467200.0,4399,159,4,36.12549439913721,139.62854530187988,5368
