logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,レーン形状情報数,Lane ID,形状要素点数,緯度[deg],経度[deg],高さ[m],形状インデックス
83089,0x1870d,False,255,2443545,2458538,15,4,8590795741,26,34.11522777614073,-117.97745422413048,89.932,23
83089,0x1870d,False,255,2443545,2458538,15,4,8590795741,26,34.11529164624291,-117.97739488025601,90.183,24
83089,0x1870d,False,255,2443545,2458538,15,4,8590795741,26,34.11531285245794,-117.97737484750742,90.265,25
83089,0x1870d,False,255,2443545,2458538,15,4,12885763037,26,34.114167800665406,-117.97823818353429,85.973,0
83089,0x1870d,False,255,2443545,2458538,15,4,12885763037,26,34.11423812483303,-117.97819124487653,86.22,1
83089,0x1870d,False,255,2443545,2458538,15,4,12885763037,26,34.11430794608647,-117.97814371948553,86.47,2
83089,0x1870d,False,255,2443545,2458538,15,4,12885763037,26,34.114377432063776,-117.97809535590422,86.718,3
83089,0x1870d,False,255,2443545,2458538,15,4,12885763037,26,34.114447001860114,-117.97804590267549,86.962,4
83089,0x1870d,False,255,2443545,2458538,15,4,12885763037,26,34.1145159011042,-117.97799569507548,87.205,5
83089,0x1870d,False,255,2443545,2458538,15,4,12885763037,26,34.114584129796036,-117.97794464928516,87.445,6
83089,0x1870d,False,255,2443545,2458538,15,4,12885763037,26,34.11465193939271,-117.97789276530452,87.68,7
83089,0x1870d,False,255,2443545,2458538,15,4,12885763037,26,34.11471932989422,-117.97784004313355,87.924,8
83089,0x1870d,False,255,2443545,2458538,15,4,12885763037,26,34.11474916946952,-117.97781632234758,88.037,9
83089,0x1870d,False,255,2443545,2458538,15,4,12885763037,26,34.114778925225785,-117.97779243392353,88.149,10
83089,0x1870d,False,255,2443545,2458538,15,4,12885763037,26,34.11478638511961,-117.97778639895324,88.177,11
83089,0x1870d,False,255,2443545,2458538,15,4,12885763037,26,34.11480122108823,-117.9777744128317,88.231,12
83089,0x1870d,False,255,2443545,2458538,15,4,12885763037,26,34.11483080920643,-117.97775018913153,88.337,13
83089,0x1870d,False,255,2443545,2458538,15,4,12885763037,26,34.11485302124984,-117.97773200040164,88.414,14
83089,0x1870d,False,255,2443545,2458538,15,4,12885763037,26,34.114860397324634,-117.97772588161233,88.44,15
83089,0x1870d,False,255,2443545,2458538,15,4,12885763037,26,34.11491915446588,-117.97767684747876,88.649,16
83089,0x1870d,False,255,2443545,2458538,15,4,12885763037,26,34.11506466430497,-117.97755153802632,89.239,17
83089,0x1870d,False,255,2443545,2458538,15,4,12885763037,26,34.11510070648862,-117.97751960297524,89.377,18
83089,0x1870d,False,255,2443545,2458538,15,4,12885763037,26,34.11512937259747,-117.97749395435152,89.484,19
83089,0x1870d,False,255,2443545,2458538,15,4,12885763037,26,34.115143705651896,-117.97748104622063,89.537,20
83089,0x1870d,False,255,2443545,2458538,15,4,12885763037,26,34.11515795488729,-117.97746813808975,89.59,21
83089,0x1870d,False,255,2443545,2458538,15,4,12885763037,26,34.11518645335808,-117.9774421541899,89.696,22
83089,0x1870d,False,255,2443545,2458538,15,4,12885763037,26,34.11520774339214,-117.97742262435551,89.776,23
83089,0x1870d,False,255,2443545,2458538,15,4,12885763037,26,34.11527136203723,-117.9773634481191,90.02,24
83089,0x1870d,False,255,2443545,2458538,15,4,12885763037,26,34.115292400614194,-117.97734358300859,90.102,25
83089,0x1870d,False,255,2443545,2458538,15,4,17180730333,26,34.114152126506475,-117.97820381773128,85.826,0
83089,0x1870d,False,255,2443545,2458538,15,4,17180730333,26,34.11422236685507,-117.97815721434964,86.079,1
83089,0x1870d,False,255,2443545,2458538,15,4,17180730333,26,34.11429176901334,-117.97811002423477,86.326,2
83089,0x1870d,False,255,2443545,2458538,15,4,17180730333,26,34.11436100353355,-117.97806191211056,86.569,3
83089,0x1870d,False,255,2443545,2458538,15,4,17180730333,26,34.1144303218728,-117.97801254270087,86.813,4
83089,0x1870d,False,255,2443545,2458538,15,4,17180730333,26,34.11449896965979,-117.97796241891989,87.064,5
83089,0x1870d,False,255,2443545,2458538,15,4,17180730333,26,34.114566863075495,-117.97791170840568,87.312,6
83089,0x1870d,False,255,2443545,2458538,15,4,17180730333,26,34.11463433739604,-117.97786007588213,87.547,7
83089,0x1870d,False,255,2443545,2458538,15,4,17180730333,26,34.114701476440466,-117.97780760516827,87.784,8
83089,0x1870d,False,255,2443545,2458538,15,4,17180730333,26,34.11473123219673,-117.97778396820132,87.894,9
83089,0x1870d,False,255,2443545,2458538,15,4,17180730333,26,34.11476090413396,-117.97776016359632,88.005,10
83089,0x1870d,False,255,2443545,2458538,15,4,17180730333,26,34.11476836402779,-117.97775412862603,88.032,11
83089,0x1870d,False,255,2443545,2458538,15,4,17180730333,26,34.11478311617737,-117.97774214250448,88.087,12
83089,0x1870d,False,255,2443545,2458538,15,4,17180730333,26,34.11481262047654,-117.97771808644238,88.193,13
83089,0x1870d,False,255,2443545,2458538,15,4,17180730333,26,34.11483466488189,-117.97769998153153,88.27,14
83089,0x1870d,False,255,2443545,2458538,15,4,17180730333,26,34.11484204095668,-117.97769394656125,88.296,15
83089,0x1870d,False,255,2443545,2458538,15,4,17180730333,26,34.11490054664083,-117.97764508006574,88.509,16
83089,0x1870d,False,255,2443545,2458538,15,4,17180730333,26,34.115045553565736,-117.97752010588943,89.111,17
83089,0x1870d,False,255,2443545,2458538,15,4,17180730333,26,34.11508142811132,-117.97748825465736,89.244,18
83089,0x1870d,False,255,2443545,2458538,15,4,17180730333,26,34.11511001040114,-117.97746268985269,89.348,19
83089,0x1870d,False,255,2443545,2458538,15,4,17180730333,26,34.11512425963653,-117.9774497817218,89.4,20
83089,0x1870d,False,255,2443545,2458538,15,4,17180730333,26,34.11513850887193,-117.97743695740994,89.453,21
83089,0x1870d,False,255,2443545,2458538,15,4,17180730333,26,34.115166839704656,-117.97741105732914,89.56,22
83089,0x1870d,False,255,2443545,2458538,15,4,17180730333,26,34.11518796210065,-117.97739161131378,89.641,23
83089,0x1870d,False,255,2443545,2458538,15,4,17180730333,26,34.115251245469615,-117.97733268653447,89.887,24
83089,0x1870d,False,255,2443545,2458538,15,4,17180730333,26,34.115272284046576,-117.97731282142394,89.968,25
85101,0x18727,False,362,1139280,1154273,15,4,4295828445,26,34.11419981953553,-117.97830875915902,86.276,0
85101,0x18727,False,362,1139280,1154273,15,4,4295828445,26,34.114270730436374,-117.97826148522512,86.514,1
85101,0x18727,False,362,1139280,1154273,15,4,4295828445,26,34.1143413060611,-117.97821328928187,86.767,2
85101,0x18727,False,362,1139280,1154273,15,4,4295828445,26,34.11441146259066,-117.97816433896733,87.02,3
85101,0x18727,False,362,1139280,1154273,15,4,4295828445,26,34.11448120002506,-117.97811446664345,87.265,4
85101,0x18727,False,362,1139280,1154273,15,4,4295828445,26,34.11455051836431,-117.97806375612926,87.516,5
85101,0x18727,False,362,1139280,1154273,15,4,4295828445,26,34.114619417608395,-117.97801229124377,87.767,6
85101,0x18727,False,362,1139280,1154273,15,4,4295828445,26,34.11468789775732,-117.97795990434894,88.009,7
85101,0x18727,False,362,1139280,1154273,15,4,4295828445,26,34.114755874992056,-117.97790676308281,88.246,8
85101,0x18727,False,362,1139280,1154273,15,4,4295828445,26,34.11478596602445,-117.97788287465877,88.351,9
85101,0x18727,False,362,1139280,1154273,15,4,4295828445,26,34.11481597323781,-117.97785881859666,88.457,10
85101,0x18727,False,362,1139280,1154273,15,4,4295828445,26,34.11482343313164,-117.97785278362637,88.484,11
85101,0x18727,False,362,1139280,1154273,15,4,4295828445,26,34.114838352919286,-117.97784062986678,88.538,12
85101,0x18727,False,362,1139280,1154273,15,4,4295828445,26,34.11486819249458,-117.97781623852855,88.646,13
85101,0x18727,False,362,1139280,1154273,15,4,4295828445,26,34.11489057217606,-117.97779788216059,88.728,14
85101,0x18727,False,362,1139280,1154273,15,4,4295828445,26,34.11489794825085,-117.97779176337127,88.755,15
85101,0x18727,False,362,1139280,1154273,15,4,4295828445,26,34.114957124487255,-117.97774222632351,88.98,16
85101,0x18727,False,362,1139280,1154273,15,4,4295828445,26,34.11510372397376,-117.97761599486172,89.535,17
85101,0x18727,False,362,1139280,1154273,15,4,4295828445,26,34.1151400176145,-117.97758389217258,89.665,18
85101,0x18727,False,362,1139280,1154273,15,4,4295828445,26,34.11516901899948,-117.97755815972982,89.772,19
85101,0x18727,False,362,1139280,1154273,15,4,4295828445,26,34.115183435872936,-117.97754516777991,89.827,20
85101,0x18727,False,362,1139280,1154273,15,4,4295828445,26,34.1151978527464,-117.97753217582999,89.884,21
85101,0x18727,False,362,1139280,1154273,15,4,4295828445,26,34.115226686493315,-117.97750610811111,90.0,22
85101,0x18727,False,362,1139280,1154273,15,4,4295828445,26,34.115248227984466,-117.97748641063866,90.088,23
85101,0x18727,False,362,1139280,1154273,15,4,4295828445,26,34.11531243336278,-117.9774268153071,90.343,24
85101,0x18727,False,362,1139280,1154273,15,4,4295828445,26,34.11533372339684,-117.97740678255852,90.424,25
85101,0x18727,False,362,1139280,1154273,15,4,8590795741,26,34.11418372628144,-117.97827338752762,86.126,0
85101,0x18727,False,362,1139280,1154273,15,4,8590795741,26,34.11425438572519,-117.97822619741275,86.37,1
85101,0x18727,False,362,1139280,1154273,15,4,8590795741,26,34.11432445843572,-117.9781782529266,86.624,2
85101,0x18727,False,362,1139280,1154273,15,4,8590795741,26,34.11439427968915,-117.97812947025014,86.874,3
85101,0x18727,False,362,1139280,1154273,15,4,8590795741,26,34.114463849485496,-117.97807968174529,87.114,4
85101,0x18727,False,362,1139280,1154273,15,4,8590795741,26,34.114532916367644,-117.97802913886915,87.36,5
85101,0x18727,False,362,1139280,1154273,15,4,8590795741,26,34.1146014803356,-117.97797792544075,87.607,6
85101,0x18727,False,362,1139280,1154273,15,4,8590795741,26,34.1146696252084,-117.97792587382204,87.846,7
85101,0x18727,False,362,1139280,1154273,15,4,8590795741,26,34.11473735098605,-117.97787298401302,88.086,8
85101,0x18727,False,362,1139280,1154273,15,4,8590795741,26,34.11476735819941,-117.97784926322704,88.194,9
85101,0x18727,False,362,1139280,1154273,15,4,8590795741,26,34.11479728159374,-117.97782529098397,88.304,10
85101,0x18727,False,362,1139280,1154273,15,4,8590795741,26,34.11480474148756,-117.97781925601369,88.331,11
85101,0x18727,False,362,1139280,1154273,15,4,8590795741,26,34.114819661275206,-117.97780718607311,88.385,12
85101,0x18727,False,362,1139280,1154273,15,4,8590795741,26,34.11484941703147,-117.97778296237294,88.494,13
85101,0x18727,False,362,1139280,1154273,15,4,8590795741,26,34.114871629074884,-117.97776468982403,88.575,14
85101,0x18727,False,362,1139280,1154273,15,4,8590795741,26,34.114879005149675,-117.97775857103471,88.602,15
85101,0x18727,False,362,1139280,1154273,15,4,8590795741,26,34.11493801374802,-117.97770936926308,88.82,16
85101,0x18727,False,362,1139280,1154273,15,4,8590795741,26,34.1150840265013,-117.97758364071548,89.38,17
85101,0x18727,False,362,1139280,1154273,15,4,8590795741,26,34.11512023632301,-117.97755162184535,89.515,18
85101,0x18727,False,362,1139280,1154273,15,4,8590795741,26,34.115149070069926,-117.97752580558358,89.623,19
85101,0x18727,False,362,1139280,1154273,15,4,8590795741,26,34.115163403124356,-117.9775128974527,89.679,20
85101,0x18727,False,362,1139280,1154273,15,4,8590795741,26,34.11517781999781,-117.97749990550277,89.734,21
85101,0x18727,False,362,1139280,1154273,15,4,8590795741,26,34.11520640228763,-117.9774738377839,89.847,22
85101,0x18727,False,362,1139280,1154273,15,4,8590795741,26,34.11522777614073,-117.97745422413048,89.932,23
85101,0x18727,False,362,1139280,1154273,15,4,8590795741,26,34.11529164624291,-117.97739488025601,90.183,24
85101,0x18727,False,362,1139280,1154273,15,4,8590795741,26,34.11531285245794,-117.97737484750742,90.265,25
85101,0x18727,False,362,1139280,1154273,15,4,12885763037,26,34.114167800665406,-117.97823818353429,85.973,0
85101,0x18727,False,362,1139280,1154273,15,4,12885763037,26,34.11423812483303,-117.97819124487653,86.22,1
85101,0x18727,False,362,1139280,1154273,15,4,12885763037,26,34.11430794608647,-117.97814371948553,86.47,2
85101,0x18727,False,362,1139280,1154273,15,4,12885763037,26,34.114377432063776,-117.97809535590422,86.718,3
85101,0x18727,False,362,1139280,1154273,15,4,12885763037,26,34.114447001860114,-117.97804590267549,86.962,4
85101,0x18727,False,362,1139280,1154273,15,4,12885763037,26,34.1145159011042,-117.97799569507548,87.205,5
85101,0x18727,False,362,1139280,1154273,15,4,12885763037,26,34.114584129796036,-117.97794464928516,87.445,6
85101,0x18727,False,362,1139280,1154273,15,4,12885763037,26,34.11465193939271,-117.97789276530452,87.68,7
85101,0x18727,False,362,1139280,1154273,15,4,12885763037,26,34.11471932989422,-117.97784004313355,87.924,8
85101,0x18727,False,362,1139280,1154273,15,4,12885763037,26,34.11474916946952,-117.97781632234758,88.037,9
85101,0x18727,False,362,1139280,1154273,15,4,12885763037,26,34.114778925225785,-117.97779243392353,88.149,10
85101,0x18727,False,362,1139280,1154273,15,4,12885763037,26,34.11478638511961,-117.97778639895324,88.177,11
85101,0x18727,False,362,1139280,1154273,15,4,12885763037,26,34.11480122108823,-117.9777744128317,88.231,12
85101,0x18727,False,362,1139280,1154273,15,4,12885763037,26,34.11483080920643,-117.97775018913153,88.337,13
85101,0x18727,False,362,1139280,1154273,15,4,12885763037,26,34.11485302124984,-117.97773200040164,88.414,14
85101,0x18727,False,362,1139280,1154273,15,4,12885763037,26,34.114860397324634,-117.97772588161233,88.44,15
85101,0x18727,False,362,1139280,1154273,15,4,12885763037,26,34.11491915446588,-117.97767684747876,88.649,16
85101,0x18727,False,362,1139280,1154273,15,4,12885763037,26,34.11506466430497,-117.97755153802632,89.239,17
85101,0x18727,False,362,1139280,1154273,15,4,12885763037,26,34.11510070648862,-117.97751960297524,89.377,18
85101,0x18727,False,362,1139280,1154273,15,4,12885763037,26,34.11512937259747,-117.97749395435152,89.484,19
85101,0x18727,False,362,1139280,1154273,15,4,12885763037,26,34.115143705651896,-117.97748104622063,89.537,20
85101,0x18727,False,362,1139280,1154273,15,4,12885763037,26,34.11515795488729,-117.97746813808975,89.59,21
85101,0x18727,False,362,1139280,1154273,15,4,12885763037,26,34.11518645335808,-117.9774421541899,89.696,22
85101,0x18727,False,362,1139280,1154273,15,4,12885763037,26,34.11520774339214,-117.97742262435551,89.776,23
85101,0x18727,False,362,1139280,1154273,15,4,12885763037,26,34.11527136203723,-117.9773634481191,90.02,24
85101,0x18727,False,362,1139280,1154273,15,4,12885763037,26,34.115292400614194,-117.97734358300859,90.102,25
85101,0x18727,False,362,1139280,1154273,15,4,17180730333,26,34.114152126506475,-117.97820381773128,85.826,0
85101,0x18727,False,362,1139280,1154273,15,4,17180730333,26,34.11422236685507,-117.97815721434964,86.079,1
85101,0x18727,False,362,1139280,1154273,15,4,17180730333,26,34.11429176901334,-117.97811002423477,86.326,2
85101,0x18727,False,362,1139280,1154273,15,4,17180730333,26,34.11436100353355,-117.97806191211056,86.569,3
85101,0x18727,False,362,1139280,1154273,15,4,17180730333,26,34.1144303218728,-117.97801254270087,86.813,4
85101,0x18727,False,362,1139280,1154273,15,4,17180730333,26,34.11449896965979,-117.97796241891989,87.064,5
85101,0x18727,False,362,1139280,1154273,15,4,17180730333,26,34.114566863075495,-117.97791170840568,87.312,6
85101,0x18727,False,362,1139280,1154273,15,4,17180730333,26,34.11463433739604,-117.97786007588213,87.547,7
85101,0x18727,False,362,1139280,1154273,15,4,17180730333,26,34.114701476440466,-117.97780760516827,87.784,8
85101,0x18727,False,362,1139280,1154273,15,4,17180730333,26,34.11473123219673,-117.97778396820132,87.894,9
85101,0x18727,False,362,1139280,1154273,15,4,17180730333,26,34.11476090413396,-117.97776016359632,88.005,10
85101,0x18727,False,362,1139280,1154273,15,4,17180730333,26,34.11476836402779,-117.97775412862603,88.032,11
