logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,レーン情報数,レーンID,左側車線のレーンID,右側車線のレーンID,Road Type,Lane_Add_Remove_Type,Accelerating Lane,Decelerating Lane,Lane Type,Crossing Type (only tunnel),Left Change Allowed,Right Change Allowed,距離[m],レーン番号,レーン総数,最高速度情報[kmh],MAP Functional Authority,Functional Authority 3,Functional Authority 2,Functional Authority 1,鮮度情報チェック状態,鮮度情報,経路変換状態,SDLinkage有無,ADAS2.0属性数,(1) OSMID,(1) 道路種別,(1) サブリンク種別,(1) 橋・トンネル属性,信号機情報ID数,道路標示情報ID数,標識情報ID数,Lane Line ID数,(1) Lane Line ID,(1) 位置種別,(2) Lane Line ID,(2) 位置種別,Road Edge ID数,(1) Road Edge ID,(2) Road Edge ID,前方レーンID数,(1) 前方レーンID,後方レーンID数,(1) 後方レーンID,(1) 標識情報ID,(2) 後方レーンID,(2) OSMID,(2) 道路種別,(2) サブリンク種別,(2) 橋・トンネル属性,(2) 標識情報ID,(3) 標識情報ID
216412,0x18956,False,255,2483439,2488552,15,4,4295828325,0,8590795621,(0) Controlled Access Divided,0,0,0,(1) Normal Driving Lane,0,0,1,51,1,4,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,0,2,4295828325,0,8590795621,1,2,861029,4295828325,1,4295828372,1,4295828290.0,,,,,,,,
216412,0x18956,False,255,2483439,2488552,15,4,8590795621,4295828325,12885762917,(0) Controlled Access Divided,0,0,0,(1) Normal Driving Lane,0,1,1,51,2,4,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,0,2,8590795621,0,12885762917,1,2,861029,4295828325,1,8590795668,1,8590795586.0,,,,,,,,
216412,0x18956,False,255,2483439,2488552,15,4,12885762917,8590795621,17180730213,(0) Controlled Access Divided,0,0,0,(1) Normal Driving Lane,0,1,1,51,3,4,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,0,2,12885762917,0,17180730213,1,2,861029,4295828325,1,12885762964,1,12885762882.0,,,,,,,,
216412,0x18956,False,255,2483439,2488552,15,4,17180730213,12885762917,0,(0) Controlled Access Divided,0,0,0,(1) Normal Driving Lane,0,1,0,51,4,4,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,0,2,17180730213,0,21475697509,1,2,861029,4295828325,1,17180730260,1,17180730178.0,,,,,,,,
218552,0x18970,False,362,1179174,1184287,15,4,4295828325,0,8590795621,(0) Controlled Access Divided,0,0,0,(1) Normal Driving Lane,0,0,1,51,1,4,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,0,2,4295828325,0,8590795621,1,2,861029,4295828325,1,4295828372,1,4295828290.0,,,,,,,,
218552,0x18970,False,362,1179174,1184287,15,4,8590795621,4295828325,12885762917,(0) Controlled Access Divided,0,0,0,(1) Normal Driving Lane,0,1,1,51,2,4,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,0,2,8590795621,0,12885762917,1,2,861029,4295828325,1,8590795668,1,8590795586.0,,,,,,,,
218552,0x18970,False,362,1179174,1184287,15,4,12885762917,8590795621,17180730213,(0) Controlled Access Divided,0,0,0,(1) Normal Driving Lane,0,1,1,51,3,4,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,0,2,12885762917,0,17180730213,1,2,861029,4295828325,1,12885762964,1,12885762882.0,,,,,,,,
218552,0x18970,False,362,1179174,1184287,15,4,17180730213,12885762917,0,(0) Controlled Access Divided,0,0,0,(1) Normal Driving Lane,0,1,0,51,4,4,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,0,2,17180730213,0,21475697509,1,2,861029,4295828325,1,17180730260,1,17180730178.0,,,,,,,,
236882,0x1898e,False,255,2488552,2494876,15,4,4295828372,0,8590795668,(0) Controlled Access Divided,0,0,0,(1) Normal Driving Lane,0,0,1,63,1,4,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,0,2,4295828372,0,8590795668,1,2,861076,4295828372,1,4295828250,1,4295828325.0,,,,,,,,
236882,0x1898e,False,255,2488552,2494876,15,4,8590795668,4295828372,12885762964,(0) Controlled Access Divided,0,0,0,(1) Normal Driving Lane,0,1,1,63,2,4,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,0,2,8590795668,0,12885762964,1,2,861076,4295828372,1,8590795546,1,8590795621.0,,,,,,,,
