logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,Lane Line形状情報数,Lane Line ID,形状要素点数,緯度[deg],経度[deg],高さ[m]
83089,0x1870f,False,255,2443545,2458538,15,5,8590795741,26,34.11532299456078,-117.97739027020927,90.351
83089,0x1870f,False,255,2443545,2458538,15,5,12885763037,26,34.11417584729245,-117.97825595316903,86.039
83089,0x1870f,False,255,2443545,2458538,15,5,12885763037,26,34.11424617146008,-117.97820851159706,86.286
83089,0x1870f,False,255,2443545,2458538,15,5,12885763037,26,34.114316076532546,-117.978160818568,86.542
83089,0x1870f,False,255,2443545,2458538,15,5,12885763037,26,34.11438589778598,-117.97811245498669,86.796
83089,0x1870f,False,255,2443545,2458538,15,5,12885763037,26,34.11445563522038,-117.97806316939604,87.04
83089,0x1870f,False,255,2443545,2458538,15,5,12885763037,26,34.114524618283504,-117.97801279415796,87.28
83089,0x1870f,False,255,2443545,2458538,15,5,12885763037,26,34.114592846975334,-117.9779614130915,87.518
83089,0x1870f,False,255,2443545,2458538,15,5,12885763037,26,34.114660656572006,-117.9779091100157,87.754
83089,0x1870f,False,255,2443545,2458538,15,5,12885763037,26,34.114728298530615,-117.97785638784474,87.998
83089,0x1870f,False,255,2443545,2458538,15,5,12885763037,26,34.114758305743976,-117.97783283469683,88.111
83089,0x1870f,False,255,2443545,2458538,15,5,12885763037,26,34.11478831295734,-117.97780911391084,88.223
83089,0x1870f,False,255,2443545,2458538,15,5,12885763037,26,34.11479577285117,-117.97780316275959,88.251
83089,0x1870f,False,255,2443545,2458538,15,5,12885763037,26,34.11481069263881,-117.97779117663805,88.306
83089,0x1870f,False,255,2443545,2458538,15,5,12885763037,26,34.11484036457605,-117.97776703675692,88.413
83089,0x1870f,False,255,2443545,2458538,15,5,12885763037,26,34.11486249280043,-117.97774868038896,88.492
83089,0x1870f,False,255,2443545,2458538,15,5,12885763037,26,34.11486986887522,-117.97774256159964,88.518
83089,0x1870f,False,255,2443545,2458538,15,5,12885763037,26,34.114928626016464,-117.97769319218996,88.731
83089,0x1870f,False,255,2443545,2458538,15,5,12885763037,26,34.11507438731265,-117.97756763128041,89.3
83089,0x1870f,False,255,2443545,2458538,15,5,12885763037,26,34.11511051331533,-117.97753569622932,89.439
83089,0x1870f,False,255,2443545,2458538,15,5,12885763037,26,34.11513934706225,-117.97751004760562,89.549
83089,0x1870f,False,255,2443545,2458538,15,5,12885763037,26,34.11515368011667,-117.97749713947472,89.604
83089,0x1870f,False,255,2443545,2458538,15,5,12885763037,26,34.1151680131711,-117.97748423134384,89.658
83089,0x1870f,False,255,2443545,2458538,15,5,12885763037,26,34.11519651164189,-117.97745816362497,89.766
83089,0x1870f,False,255,2443545,2458538,15,5,12885763037,26,34.11521788549498,-117.97743854997154,89.847
83089,0x1870f,False,255,2443545,2458538,15,5,12885763037,26,34.1152815879591,-117.9773792899161,90.095
83089,0x1870f,False,255,2443545,2458538,15,5,12885763037,26,34.115302710355095,-117.97735934098655,90.178
83089,0x1870f,False,255,2443545,2458538,15,5,17180730333,26,34.11415975403836,-117.97822058153763,85.907
83089,0x1870f,False,255,2443545,2458538,15,5,17180730333,26,34.11422991056792,-117.97817347524179,86.154
83089,0x1870f,False,255,2443545,2458538,15,5,17180730333,26,34.11429939654523,-117.9781259498508,86.397
83089,0x1870f,False,255,2443545,2458538,15,5,17180730333,26,34.11436888252254,-117.97807783772659,86.64
83089,0x1870f,False,255,2443545,2458538,15,5,17180730333,26,34.11443845231888,-117.97802871977399,86.884
83089,0x1870f,False,255,2443545,2458538,15,5,17180730333,26,34.11450735156296,-117.9779788474501,87.13
83089,0x1870f,False,255,2443545,2458538,15,5,17180730333,26,34.11457549643576,-117.97792796929784,87.372
83089,0x1870f,False,255,2443545,2458538,15,5,17180730333,26,34.11464288693728,-117.97787600149817,87.607
83089,0x1870f,False,255,2443545,2458538,15,5,17180730333,26,34.1147100259817,-117.97782311168915,87.849
83089,0x1870f,False,255,2443545,2458538,15,5,17180730333,26,34.114739865557,-117.97779939090316,87.962
83089,0x1870f,False,255,2443545,2458538,15,5,17180730333,26,34.114769621313265,-117.97777567011718,88.075
