logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,線形状情報数,ライン型地物ID,3D地物属性オプションフラグ,Type,形状要素点数,緯度[deg],経度[deg],高さ[m]
5815,0x3fbba,False,285,2373538,2379470,7,6,1.7488013864825285e+18,4,0,14,36.233956896754435,139.57442972333507,62.92
5815,0x3fbba,False,285,2373538,2379470,7,6,1.7488013864825285e+18,4,0,14,36.233982377740084,139.57443676413374,62.9
5815,0x3fbba,False,285,2373538,2379470,7,6,1.7488013864825285e+18,4,0,14,36.23402596363659,139.57444816352205,62.86
5815,0x3fbba,False,285,2373538,2379470,7,6,1.7488013864825285e+18,4,0,14,36.234068878980835,139.57445956291036,62.82
5815,0x3fbba,False,285,2373538,2379470,7,6,1.7488013864825285e+18,4,0,14,36.23411112377283,139.57447029174642,62.78
5815,0x3fbba,False,285,2373538,2379470,7,6,1.7488013864825285e+18,4,0,14,36.23415269801257,139.5744813558586,62.74
5815,0x3fbba,False,285,2373538,2379470,7,6,1.7488013864825285e+18,4,0,14,36.23419393697618,139.57449208469467,62.7
5815,0x3fbba,False,285,2373538,2379470,7,6,1.7488013864825285e+18,4,0,14,36.23423953452945,139.5745038193591,62.66
5815,0x3fbba,False,285,2373538,2379470,7,6,1.7488013864825285e+18,4,0,14,36.23428010294081,139.5745148834713,62.63
5815,0x3fbba,False,285,2373538,2379470,7,6,1.7488013864825285e+18,4,0,14,36.23432570049407,139.5745269534119,62.59
5815,0x3fbba,False,285,2373538,2379470,7,6,1.7488013864825285e+18,4,0,14,36.234364927800925,139.57453634114344,62.54
5815,0x3fbba,False,285,2373538,2379470,7,6,1.7488013864825285e+18,4,0,14,36.234413878115454,139.57454908163626,62.49
5815,0x3fbba,False,285,2373538,2379470,7,6,1.7488013864825285e+18,4,0,14,36.23444405296688,139.57455746353943,62.47
5815,0x3fbba,False,285,2373538,2379470,7,6,1.7488013864825285e+18,4,0,14,36.23448260972148,139.57456752182324,62.44
5815,0x3fbba,False,285,2373538,2379470,7,6,1.7488013864825285e+18,20,0,7,36.2339501912319,139.5744686153658,62.99
5815,0x3fbba,False,285,2373538,2379470,7,6,1.7488013864825285e+18,20,0,7,36.23401758173341,139.57448705555277,62.94
5815,0x3fbba,False,285,2373538,2379470,7,6,1.7488013864825285e+18,20,0,7,36.234125875922416,139.57451555402355,62.84
5815,0x3fbba,False,285,2373538,2379470,7,6,1.7488013864825285e+18,20,0,7,36.2341966191852,139.57453399421055,62.78
5815,0x3fbba,False,285,2373538,2379470,7,6,1.7488013864825285e+18,20,0,7,36.23430290171744,139.57456148685296,62.71
5815,0x3fbba,False,285,2373538,2379470,7,6,1.7488013864825285e+18,20,0,7,36.23437163332346,139.57458026231606,62.64
5815,0x3fbba,False,285,2373538,2379470,7,6,1.7488013864825285e+18,20,0,7,36.23447590419894,139.57460607857783,62.55
5815,0x3fbba,False,285,2373538,2379470,7,6,1.7488013870193994e+18,0,0,29,36.23396192589634,139.57440122486426,62.84
5815,0x3fbba,False,285,2373538,2379470,7,6,1.7488013870193994e+18,0,0,29,36.233999141546434,139.57441094787197,62.8
5815,0x3fbba,False,285,2373538,2379470,7,6,1.7488013870193994e+18,0,0,29,36.234038368853284,139.57442067087965,62.78
5815,0x3fbba,False,285,2373538,2379470,7,6,1.7488013870193994e+18,0,0,29,36.23405982652541,139.57442536474542,62.75
5815,0x3fbba,False,285,2373538,2379470,7,6,1.7488013870193994e+18,0,0,29,36.23406317928668,139.57442536474542,62.76
5815,0x3fbba,False,285,2373538,2379470,7,6,1.7488013870193994e+18,0,0,29,36.234066867324074,139.57442704112606,62.74
5815,0x3fbba,False,285,2373538,2379470,7,6,1.7488013870193994e+18,0,0,29,36.234073237570485,139.57442737640218,62.74
5815,0x3fbba,False,285,2373538,2379470,7,6,1.7488013870193994e+18,0,0,29,36.23407457867499,139.5744263705738,62.74
5815,0x3fbba,False,285,2373538,2379470,7,6,1.7488013870193994e+18,0,0,29,36.2341268817508,139.574440116895,62.68
5815,0x3fbba,False,285,2373538,2379470,7,6,1.7488013870193994e+18,0,0,29,36.23412721702692,139.5744414579995,62.68
5815,0x3fbba,False,285,2373538,2379470,7,6,1.7488013870193994e+18,0,0,29,36.234130234512065,139.5744451460369,62.69
5815,0x3fbba,False,285,2373538,2379470,7,6,1.7488013870193994e+18,0,0,29,36.2341369400346,139.57444816352205,62.67
5815,0x3fbba,False,285,2373538,2379470,7,6,1.7488013870193994e+18,0,0,29,36.234151356908065,139.57445218683557,62.66
5815,0x3fbba,False,285,2373538,2379470,7,6,1.7488013870193994e+18,0,0,29,36.23420030722259,139.57446425677614,62.61
5815,0x3fbba,False,285,2373538,2379470,7,6,1.7488013870193994e+18,0,0,29,36.23425328085065,139.57447666199283,62.56
5815,0x3fbba,False,285,2373538,2379470,7,6,1.7488013870193994e+18,0,0,29,36.23428814956785,139.574485043896,62.53
5815,0x3fbba,False,285,2373538,2379470,7,6,1.7488013870193994e+18,0,0,29,36.23433676460626,139.57449778438883,62.49
5815,0x3fbba,False,285,2373538,2379470,7,6,1.7488013870193994e+18,0,0,29,36.23437163332346,139.5745075073965,62.46
5815,0x3fbba,False,285,2373538,2379470,7,6,1.7488013870193994e+18,0,0,29,36.23437867412213,139.57450918377714,62.45
5815,0x3fbba,False,285,2373538,2379470,7,6,1.7488013870193994e+18,0,0,29,36.23438169160727,139.57451018960552,62.45
5815,0x3fbba,False,285,2373538,2379470,7,6,1.7488013870193994e+18,0,0,29,36.234385379644664,139.57451052488165,62.46
