logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,区画線数,対象の区画線ID,対象の区画線の親区画線のID,MMS測位誤差[mm],レーザー測位誤差[mm],道路構成地物ID,区画線種別,区画線付加属性フラグ,始点側線幅[cm],終点側線幅[cm]
310900,0x3fcda,False,292,2393487,2401480,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
310900,0x3fcda,False,292,2393487,2401480,7,6,1.7488013864825288e+18,-1,471.0,213.0,3221291520.0,2,48,15,15
310900,0x3fcda,False,292,2393487,2401480,7,6,1.7488013864825288e+18,-1,468.0,217.0,3221291776.0,1,16,20,20
405943,0x3fd29,False,285,2401480,2409461,7,6,1.7488013864825288e+18,-1,312.0,186.0,3221291776.0,1,32,20,20
405943,0x3fd29,False,285,2401480,2409461,7,6,1.7488013864825288e+18,-1,330.0,184.0,3221291520.0,2,48,15,15
405943,0x3fd29,False,285,2401480,2409461,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
405943,0x3fd29,False,285,2401480,2409461,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
405943,0x3fd29,False,285,2401480,2409461,7,6,1.7488013864825288e+18,-1,476.0,213.0,3221291520.0,2,48,15,15
405943,0x3fd29,False,285,2401480,2409461,7,6,1.7488013864825288e+18,-1,477.0,217.0,3221291776.0,1,16,20,20
409482,0x3fd34,False,292,2401480,2409461,7,6,1.7488013864825288e+18,-1,312.0,186.0,3221291776.0,1,32,20,20
409482,0x3fd34,False,292,2401480,2409461,7,6,1.7488013864825288e+18,-1,330.0,184.0,3221291520.0,2,48,15,15
409482,0x3fd34,False,292,2401480,2409461,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
409482,0x3fd34,False,292,2401480,2409461,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
409482,0x3fd34,False,292,2401480,2409461,7,6,1.7488013864825288e+18,-1,476.0,213.0,3221291520.0,2,48,15,15
409482,0x3fd34,False,292,2401480,2409461,7,6,1.7488013864825288e+18,-1,477.0,217.0,3221291776.0,1,16,20,20
506388,0x3fd85,False,285,2409461,2417460,7,6,1.7488013864825288e+18,-1,332.0,184.0,3221291776.0,1,32,20,20
506388,0x3fd85,False,285,2409461,2417460,7,6,1.7488013864825288e+18,-1,336.0,183.0,3221291520.0,2,48,15,15
506388,0x3fd85,False,285,2409461,2417460,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
506388,0x3fd85,False,285,2409461,2417460,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
506388,0x3fd85,False,285,2409461,2417460,7,6,1.7488013864825288e+18,-1,484.0,213.0,3221291520.0,2,48,15,15
506388,0x3fd85,False,285,2409461,2417460,7,6,1.7488013864825288e+18,-1,486.0,217.0,3221291776.0,1,16,20,20
510192,0x3fd90,False,292,2409461,2417460,7,6,1.7488013864825288e+18,-1,332.0,184.0,3221291776.0,1,32,20,20
510192,0x3fd90,False,292,2409461,2417460,7,6,1.7488013864825288e+18,-1,336.0,183.0,3221291520.0,2,48,15,15
510192,0x3fd90,False,292,2409461,2417460,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
510192,0x3fd90,False,292,2409461,2417460,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
510192,0x3fd90,False,292,2409461,2417460,7,6,1.7488013864825288e+18,-1,484.0,213.0,3221291520.0,2,48,15,15
510192,0x3fd90,False,292,2409461,2417460,7,6,1.7488013864825288e+18,-1,486.0,217.0,3221291776.0,1,16,20,20
606983,0x3fde3,False,285,2417460,2425265,7,6,1.7488013864825288e+18,-1,344.0,186.0,3221291776.0,1,32,20,20
606983,0x3fde3,False,285,2417460,2425265,7,6,1.7488013864825288e+18,-1,322.0,188.0,3221291520.0,2,48,15,15
606983,0x3fde3,False,285,2417460,2425265,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
606983,0x3fde3,False,285,2417460,2425265,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
606983,0x3fde3,False,285,2417460,2425265,7,6,1.7488013864825288e+18,-1,495.0,212.0,3221291520.0,2,48,15,15
606983,0x3fde3,False,285,2417460,2425265,7,6,1.7488013864825288e+18,-1,495.0,217.0,3221291776.0,1,16,20,20
610132,0x3fdef,False,292,2417460,2425265,7,6,1.7488013864825288e+18,-1,344.0,186.0,3221291776.0,1,32,20,20
610132,0x3fdef,False,292,2417460,2425265,7,6,1.7488013864825288e+18,-1,322.0,188.0,3221291520.0,2,48,15,15
610132,0x3fdef,False,292,2417460,2425265,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
610132,0x3fdef,False,292,2417460,2425265,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
610132,0x3fdef,False,292,2417460,2425265,7,6,1.7488013864825288e+18,-1,495.0,212.0,3221291520.0,2,48,15,15
610132,0x3fdef,False,292,2417460,2425265,7,6,1.7488013864825288e+18,-1,495.0,217.0,3221291776.0,1,16,20,20
706825,0x3fe2d,False,285,2425265,2432609,7,6,1.7488013864825288e+18,-1,260.0,187.0,3221291776.0,1,32,20,20
